                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.93882,                 1.0889,                0.49824,                0.99574,                      1,                0.97004,                0.99414,                0.80727,                      1,                0.97004,                0.99414,                0.79822,                0.76002,                  1.017,                0.39216,                0.92533,              0.0008615,              0.0008615,              0.0008615
                     25,                0.93971,                 1.0974,                0.48299,                0.99985,                0.99218,                0.97321,                 0.9944,                  0.832,                0.99218,                0.97321,                0.99465,                0.79894,                0.72771,                 1.0482,                0.37838,                0.91593,               0.000812,               0.000812,               0.000812
                     26,                0.94316,                 1.0442,                0.47892,                 1.0009,                0.98368,                0.97321,                0.99405,                0.81793,                0.98368,                0.97321,                0.99405,                0.77689,                  0.776,                 1.1067,                0.38488,                0.93637,              0.0007625,              0.0007625,              0.0007625
                     27,                0.95353,                 1.0973,                0.48319,                0.99693,                0.99968,                0.97321,                0.99405,                0.83426,                0.99968,                0.97321,                0.99405,                 0.7997,                0.75072,                 1.0537,                0.40057,                0.93442,               0.000713,               0.000713,               0.000713
                     28,                0.90997,                 1.0368,                0.46293,                 0.9764,                0.99929,                0.96429,                0.99387,                0.82682,                0.99929,                0.96429,                0.99387,                0.79712,                0.71861,                0.99183,                  0.364,                0.91489,              0.0006635,              0.0006635,              0.0006635
                     29,                0.92944,                 1.0683,                0.47252,                 0.9867,                0.98412,                0.96429,                0.99379,                0.81567,                0.98412,                0.96429,                0.99379,                0.78801,                0.74521,                 1.0316,                0.37541,                0.91815,               0.000614,               0.000614,               0.000614
                     30,                0.91275,                 1.0314,                0.44762,                0.98101,                0.99076,                0.97321,                0.99349,                0.81453,                0.99076,                0.97321,                0.99385,                0.77295,                0.72726,                 1.0149,                0.35227,                0.90847,              0.0005645,              0.0005645,              0.0005645
                     31,                0.92607,                 1.0776,                0.45335,                0.98344,                0.99814,                0.97321,                0.99465,                0.82197,                0.99814,                0.97321,                0.99465,                0.79666,                0.73102,                0.99099,                 0.3547,                0.90761,               0.000515,               0.000515,               0.000515
                     32,                0.90683,                 1.0354,                0.44644,                0.97978,                0.98225,                0.98795,                0.99465,                0.82555,                0.98225,                0.98795,                0.99465,                0.79569,                0.73167,                 1.0214,                0.34588,                0.91447,              0.0004655,              0.0004655,              0.0004655
                     33,                0.86587,                 1.0377,                0.42503,                0.97616,                0.97939,                0.97321,                0.99412,                0.83488,                0.97939,                0.97321,                0.99412,                0.80078,                0.69616,                 1.0189,                 0.3503,                0.90109,               0.000416,               0.000416,               0.000416
                     34,                0.87709,                 0.9941,                0.42252,                 0.9701,                0.98212,                0.98068,                0.99422,                0.82555,                0.98212,                0.98068,                0.99422,                0.79199,                0.72068,                 1.0388,                0.34496,                0.91079,              0.0003665,              0.0003665,              0.0003665
                     35,                0.87973,                 1.0362,                0.42402,                0.97628,                0.99044,                0.97321,                0.99325,                0.81877,                0.99044,                0.97321,                0.99325,                0.78953,                0.71884,                 1.0246,                0.35943,                0.90713,               0.000317,               0.000317,               0.000317
                     36,                0.88772,                 1.0186,                0.42359,                0.97789,                0.98224,                0.98735,                0.99465,                0.83165,                0.98224,                0.98735,                0.99465,                0.78637,                0.72972,                 1.0042,                0.33768,                0.90673,              0.0002675,              0.0002675,              0.0002675
                     37,                0.83629,                0.97532,                 0.4023,                0.95688,                      1,                0.97231,                0.99456,                0.83046,                      1,                0.97231,                0.99456,                0.79251,                0.72168,                 1.0123,                0.33391,                0.90248,               0.000218,               0.000218,               0.000218
                     38,                0.83832,                0.97891,                0.39546,                0.96333,                0.99084,                0.96574,                0.99421,                0.83063,                0.99084,                0.96574,                0.99421,                0.79596,                0.72175,                 1.0077,                0.33581,                0.90748,              0.0001685,              0.0001685,              0.0001685
                     39,                0.82894,                0.98194,                0.39197,                  0.954,                0.99153,                0.96429,                 0.9943,                0.83197,                0.99153,                0.96429,                 0.9943,                0.79097,                0.72363,                 1.0062,                0.33198,                0.90632,               0.000119,               0.000119,               0.000119
